,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,system_attrs_nsga2:generation,state
133,133,-0.34518642306049846,0.13217265402160067,2024-05-16 07:26:46.029538,2024-05-16 07:26:49.448900,0 days 00:00:03.419362,81,0.46881563389326086,2,COMPLETE
134,134,0.2523256567287448,0.10055601750035019,2024-05-16 07:26:49.453445,2024-05-16 07:26:53.629357,0 days 00:00:04.175912,54,0.8834056863691265,2,COMPLETE
135,135,0.28671772958769026,0.09969865623020387,2024-05-16 07:26:53.630977,2024-05-16 07:26:56.746820,0 days 00:00:03.115843,88,0.5723360878832077,2,COMPLETE
136,136,-0.2723083103872323,0.12982921384333598,2024-05-16 07:26:56.750675,2024-05-16 07:26:59.389310,0 days 00:00:02.638635,55,0.7391282965213801,2,COMPLETE
137,137,-19.816871704411604,0.4028903156333996,2024-05-16 07:26:59.391772,2024-05-16 07:27:02.032756,0 days 00:00:02.640984,6,0.7147708783750111,2,COMPLETE
138,138,-0.020030149693145604,0.11982059216430094,2024-05-16 07:27:02.033753,2024-05-16 07:27:04.651195,0 days 00:00:02.617442,93,0.5509864773795611,2,COMPLETE
139,139,0.21796584822265933,0.10458198448619598,2024-05-16 07:27:04.654250,2024-05-16 07:27:07.831773,0 days 00:00:03.177523,66,0.8993982076620489,2,COMPLETE
140,140,-0.8206590997526199,0.15362895627253023,2024-05-16 07:27:07.838593,2024-05-16 07:27:11.372404,0 days 00:00:03.533811,97,0.12005977684669067,2,COMPLETE
141,141,-0.25887086844626,0.1325855305244684,2024-05-16 07:27:11.375393,2024-05-16 07:27:15.045860,0 days 00:00:03.670467,79,0.8410241206647476,2,COMPLETE
142,142,0.020338724092746775,0.1097291100448565,2024-05-16 07:27:15.051172,2024-05-16 07:27:17.601110,0 days 00:00:02.549938,44,0.3166710595887352,2,COMPLETE
143,143,0.3055360652544294,0.09901634300848698,2024-05-16 07:27:17.602751,2024-05-16 07:27:22.036558,0 days 00:00:04.433807,35,0.7350785708412749,2,COMPLETE
144,144,-0.5285736363795757,0.133975671406591,2024-05-16 07:27:22.038975,2024-05-16 07:27:25.266193,0 days 00:00:03.227218,84,0.6204977299948711,2,COMPLETE
145,145,0.6014473764437501,0.07318086104817419,2024-05-16 07:27:25.268314,2024-05-16 07:27:27.626739,0 days 00:00:02.358425,61,0.9250668686470647,2,COMPLETE
146,146,-0.16004472165543052,0.11823499411508902,2024-05-16 07:27:27.629703,2024-05-16 07:27:29.488118,0 days 00:00:01.858415,36,0.9639382924056547,2,COMPLETE
147,147,-0.9672808418555144,0.1633018742690647,2024-05-16 07:27:29.489422,2024-05-16 07:27:32.154091,0 days 00:00:02.664669,44,0.2577242304682843,2,COMPLETE
148,148,-0.3925159934439858,0.13346641856108524,2024-05-16 07:27:32.155293,2024-05-16 07:27:35.545163,0 days 00:00:03.389870,43,0.2460507958770406,2,COMPLETE
149,149,0.019258383779888623,0.11738855213158701,2024-05-16 07:27:35.546628,2024-05-16 07:27:38.528001,0 days 00:00:02.981373,71,0.6519779719892715,2,COMPLETE
150,150,-0.3341536488142811,0.13214808922516968,2024-05-16 07:27:38.531586,2024-05-16 07:27:41.186665,0 days 00:00:02.655079,29,0.6190127579590201,3,COMPLETE
151,151,-0.5327212481192847,0.13685723094734037,2024-05-16 07:27:41.188738,2024-05-16 07:27:43.025299,0 days 00:00:01.836561,92,0.8889766032651565,3,COMPLETE
152,152,-0.24075942994842658,0.12900111457735375,2024-05-16 07:27:43.026435,2024-05-16 07:27:45.525124,0 days 00:00:02.498689,57,0.11089277752023952,3,COMPLETE
153,153,-3.2113120648798734,0.22053168973629256,2024-05-16 07:27:45.527393,2024-05-16 07:27:47.014252,0 days 00:00:01.486859,3,0.9599966445403726,3,COMPLETE
154,154,-0.32844555887518057,0.13334052029407267,2024-05-16 07:27:47.015358,2024-05-16 07:27:49.662814,0 days 00:00:02.647456,97,0.18636937742887438,3,COMPLETE
