,number,values_0,values_1,datetime_start,datetime_complete,duration,params_dim,params_smoothing_level,params_smoothing_trend,system_attrs_nsga2:generation,state
93,93,-0.8554228426189205,0.006902048416814595,2024-05-18 17:06:48.443410,2024-05-18 17:06:50.866088,0 days 00:00:02.422678,235,0.640478472971467,0.9265250779091302,1,COMPLETE
94,94,-0.49720972710807587,0.006234395893751181,2024-05-18 17:06:50.867135,2024-05-18 17:06:54.178242,0 days 00:00:03.311107,478,0.45165363142392556,0.9265250779091302,1,COMPLETE
95,95,-2.5464935280442074,0.009929064840066055,2024-05-18 17:06:54.178242,2024-05-18 17:06:56.573134,0 days 00:00:02.394892,148,0.7799650199147381,0.11678898408643301,1,COMPLETE
96,96,-0.8245223043743419,0.006831422933855398,2024-05-18 17:06:56.573134,2024-05-18 17:06:59.495667,0 days 00:00:02.922533,388,0.31486407818179873,0.6839503668883695,1,COMPLETE
97,97,-0.4194711017111459,0.005953771554986322,2024-05-18 17:06:59.495667,2024-05-18 17:07:03.003606,0 days 00:00:03.507939,616,0.8723739167002719,0.5080777860360639,1,COMPLETE
98,98,-0.8227083223596736,0.006542073451081471,2024-05-18 17:07:03.003606,2024-05-18 17:07:05.269226,0 days 00:00:02.265620,235,0.06674672831297235,0.34116242374825667,1,COMPLETE
99,99,-1.4053632765388988,0.007992404765384842,2024-05-18 17:07:05.284847,2024-05-18 17:07:08.301291,0 days 00:00:03.016444,448,0.536964049611274,0.6839503668883695,1,COMPLETE
100,100,-0.5407807384814685,0.006389116217255117,2024-05-18 17:07:08.301291,2024-05-18 17:07:10.816851,0 days 00:00:02.515560,235,0.8009079930686255,0.34116242374825667,2,COMPLETE
101,101,-1.3311052172454627,0.007916540141539708,2024-05-18 17:07:10.832696,2024-05-18 17:07:13.331878,0 days 00:00:02.499182,266,0.19301554304388446,0.3947185068047774,2,COMPLETE
102,102,-0.7229485108045027,0.006722867441994301,2024-05-18 17:07:13.332588,2024-05-18 17:07:16.880951,0 days 00:00:03.548363,616,0.6049106877584202,0.7021480447058368,2,COMPLETE
103,103,-0.5518190836918822,0.006310599008375453,2024-05-18 17:07:16.880951,2024-05-18 17:07:21.078176,0 days 00:00:04.197225,616,0.21932449846126045,0.16444067717633826,2,COMPLETE
104,104,-0.4634664442126152,0.006055446658762988,2024-05-18 17:07:21.078176,2024-05-18 17:07:26.492415,0 days 00:00:05.414239,827,0.3563041679237753,0.2912480994604083,2,COMPLETE
105,105,-13.272493268016756,0.01568013616271248,2024-05-18 17:07:26.492415,2024-05-18 17:07:32.162134,0 days 00:00:05.669719,932,0.6595608396772981,0.14025622568840745,2,COMPLETE
106,106,-0.4224959026827307,0.006078780650471356,2024-05-18 17:07:32.162134,2024-05-18 17:07:37.355141,0 days 00:00:05.193007,771,0.8723739167002719,0.21499079878289562,2,COMPLETE
107,107,-0.3127472491800429,0.005689845675711887,2024-05-18 17:07:37.355141,2024-05-18 17:07:42.786026,0 days 00:00:05.430885,887,0.04367041053946974,0.1390401654120803,2,COMPLETE
